imdb_id,type
tt0075314,SERIES
tt0068473,MOVIE
tt0071853,MOVIE
tt0061578,MOVIE
tt0063929,MOVIE
tt0079470,SERIES
tt0066999,MOVIE
tt0061418,MOVIE
tt0080453,MOVIE
tt0054953,MOVIE
tt0060862,MOVIE
tt0079807,MOVIE
tt0047673,MOVIE
tt0051390,MOVIE
tt0191182,MOVIE
tt0068562,MOVIE
tt0077751,MOVIE
tt0064038,MOVIE
tt0080653,MOVIE
tt0057357,MOVIE
tt0079749,MOVIE
tt0047500,MOVIE
tt0049761,MOVIE
tt0170799,MOVIE
tt0268639,MOVIE
tt0202477,MOVIE
tt0169599,SERIES
tt0074168,MOVIE
tt0230412,MOVIE
tt0071811,MOVIE
tt0157132,MOVIE
tt0170803,MOVIE
tt3290368,MOVIE
tt1219315,MOVIE
tt0098904,MOVIE
tt0099685,SERIES
tt0093058,MOVIE
tt0087843,MOVIE
tt0098635,MOVIE
tt0087800,MOVIE
tt0098384,MOVIE
tt0087928,MOVIE
tt0085333,MOVIE
tt0083437,MOVIE
tt0086815,SERIES
tt0096694,SERIES
tt0099077,SERIES
tt0072584,MOVIE
tt0097958,SERIES
tt0097722,MOVIE
tt0092948,MOVIE
tt0091939,MOVIE
tt0096643,MOVIE
tt0082329,SERIES
tt0081848,MOVIE
tt13913068,SERIES
tt0095262,MOVIE
tt0159510,MOVIE
tt0329829,MOVIE
tt0307403,SERIES
tt0089108,MOVIE
tt0259057,MOVIE
tt0159511,MOVIE
tt0084352,MOVIE
tt0208903,MOVIE
tt0098999,MOVIE
tt0213984,MOVIE
tt0096286,MOVIE
tt0096179,MOVIE
tt0098237,MOVIE
tt0099429,MOVIE
tt0090589,MOVIE
tt0091106,MOVIE
tt0099396,MOVIE
tt0097926,MOVIE
tt0177505,MOVIE
tt0099858,MOVIE
tt0301231,MOVIE
tt0094052,MOVIE
tt0239495,MOVIE
tt0095945,MOVIE
tt5944220,MOVIE
tt0239682,SERIES
tt0358053,MOVIE
tt0170148,MOVIE
tt0379272,MOVIE
tt0084042,MOVIE
tt0084492,MOVIE
